Query	Reference	Core	Accessory
12673_8#24	12673_8#26	0.00046271592	0.950907
12673_8#24	12673_8#27	0.005586243	0.8454504
12673_8#24	12673_8#28	0.004003448	0.88553834
12673_8#24	12673_8#29	0.00040126438	0.94950455
12673_8#24	12673_8#31	0.00011790287	0.9630106
12673_8#24	12673_8#32	0.005217572	0.85168767
12673_8#24	12673_8#34	0.004312372	0.84350926
12673_8#24	12673_8#36	0.009399839	0.990059
12673_8#24	12673_8#37	0.009176288	0.99007314
12673_8#24	12673_8#39	0.04769451	0.7197562
12673_8#24	12673_8#41	0.00015705026	0.95221305
12673_8#24	12673_8#42	0.0094025135	0.99005926
12673_8#24	12673_8#43	0.0092975255	0.9900649
12673_8#24	12754_4#66	9.5958705e-05	0.9546738
12673_8#24	12754_4#68	0.0041031106	0.88683647
12673_8#24	12754_4#70	0.008936313	0.9900804
12673_8#24	12754_4#71	0.04872625	0.7264857
12673_8#24	12754_4#73	0.006123013	0.867395
12673_8#24	12754_4#74	0.011898987	0.98994523
12673_8#26	12673_8#27	0.005678065	0.8622812
12673_8#26	12673_8#28	0.0058801263	0.8666484
12673_8#26	12673_8#29	0.04796772	0.7184901
12673_8#26	12673_8#31	0.009598423	0.99004865
12673_8#26	12673_8#32	0.008785592	0.99008894
12673_8#26	12673_8#34	0.0	0.95620716
12673_8#26	12673_8#36	0.009649665	0.990045
12673_8#26	12673_8#37	0.0043437756	0.89065963
12673_8#26	12673_8#39	0.0	0.970769
12673_8#26	12673_8#41	0.047078732	0.7398432
12673_8#26	12673_8#42	0.008860852	0.99008816
12673_8#26	12673_8#43	0.0042118095	0.8891736
12673_8#26	12754_4#66	0.0039711175	0.84370947
12673_8#26	12754_4#68	0.005078594	0.85321873
12673_8#26	12754_4#70	0.0	0.95992076
12673_8#26	12754_4#71	0.00014377938	0.9998121
12673_8#26	12754_4#73	0.008798105	0.9900878
12673_8#26	12754_4#74	0.004923747	0.8364148
12673_8#27	12673_8#28	0.011103108	0.9899827
12673_8#27	12673_8#29	0.004904081	0.8363674
12673_8#27	12673_8#31	0.0058061057	0.8651945
