Query	Reference	Core	Accessory
12673_8#24	12673_8#26	0.00090531923	0.04275989
12673_8#24	12673_8#27	0.0052686534	0.16258325
12673_8#24	12673_8#28	0.004364801	0.10523568
12673_8#24	12673_8#29	0.00088135403	0.042920224
12673_8#24	12673_8#31	0.00030425127	0.036681395
12673_8#24	12673_8#32	0.005503443	0.14608997
12673_8#24	12673_8#34	0.00524734	0.14221461
12673_8#24	12673_8#36	0.0042590806	0.11767617
12673_8#24	12673_8#37	0.003942416	0.122597136
12673_8#24	12673_8#39	0.037473377	0.43280938
12673_8#24	12673_8#41	0.00028509693	0.048664503
12673_8#24	12673_8#42	0.0042548073	0.11853969
12673_8#24	12673_8#43	0.004651518	0.10586351
12673_8#24	12754_4#66	0.00025615166	0.044461206
12673_8#24	12754_4#68	0.0042940537	0.110157795
12673_8#24	12754_4#70	0.004430856	0.10739254
12673_8#24	12754_4#71	0.038073976	0.43569604
12673_8#24	12754_4#73	0.0059296987	0.13502762
12673_8#24	12754_4#74	0.005791555	0.13979696
12673_8#24	12754_4#75	0.0041479743	0.112092584
12673_8#24	12754_4#77	0.004609101	0.114429474
12673_8#24	12754_4#78	0.036807258	0.43965033
12673_8#24	12754_4#79	0.03788682	0.4219737
12673_8#24	12754_4#80	0.0053079966	0.13925737
12673_8#24	12754_4#81	0.037572093	0.43509167
12673_8#24	12754_4#82	0.004427157	0.14444852
12673_8#24	12754_4#84	0.037874505	0.4380587
12673_8#24	12754_4#85	0.00042532044	0.045902226
12673_8#24	12754_4#87	0.037971586	0.43786404
12673_8#24	12754_4#88	0.004967646	0.16067244
12673_8#24	12754_4#89	0.03758018	0.43262166
12673_8#24	12754_4#90	0.03802815	0.42140546
12673_8#24	12754_4#92	0.036969915	0.44612357
12673_8#24	12754_4#94	0.03775329	0.43341196
12673_8#24	12754_4#95	0.0045662844	0.10294167
12673_8#24	12754_5#11	0.0045135887	0.1100231
12673_8#24	12754_5#12	0.03785027	0.42702848
12673_8#24	12754_5#13	0.0046236683	0.10610804
12673_8#24	12754_5#14	0.037609223	0.42714933
12673_8#24	12754_5#16	0.03766774	0.4401064
12673_8#24	12754_5#18	0.0044281036	0.10798204
12673_8#24	12754_5#19	0.037755776	0.4333974
12673_8#24	12754_5#2	0.0373349	0.4390891
12673_8#24	12754_5#20	0.03771218	0.42959565
12673_8#24	12754_5#22	0.0009270325	0.042481355
12673_8#24	12754_5#24	0.0009275485	0.04233007
12673_8#24	12754_5#26	0.0044081584	0.10830445
12673_8#24	12754_5#28	0.0049176686	0.15356897
