Query	Reference	Core	Accessory
12673_8#24	12673_8#26	0.00092315656	0.04318923
12673_8#24	12673_8#27	0.0054377574	0.16334218
12673_8#24	12673_8#28	0.005072924	0.095173486
12673_8#24	12673_8#29	0.0008795062	0.0440696
12673_8#24	12673_8#31	0.0005094081	0.03117128
12673_8#24	12673_8#32	0.0058526164	0.14157659
12673_8#24	12673_8#34	0.0060687424	0.12979056
12673_8#24	12673_8#36	0.004769959	0.10802282
12673_8#24	12673_8#37	0.0050723827	0.10262063
12673_8#24	12673_8#39	0.03621631	0.45110208
12673_8#24	12673_8#41	0.0005284463	0.04315286
12673_8#24	12673_8#42	0.004929468	0.105189286
12673_8#24	12673_8#43	0.0045978515	0.10937305
12673_8#24	12754_4#66	0.0005403286	0.03840493
12673_8#24	12754_4#68	0.004775608	0.10096706
12673_8#24	12754_4#70	0.004736793	0.100213125
12673_8#24	12754_4#71	0.036592834	0.45589805
12673_8#24	12754_4#73	0.0059083537	0.13736334
12673_8#24	12754_4#74	0.0058901836	0.13896239
12673_8#24	12754_4#75	0.0048411363	0.09850262
12673_8#24	12754_4#77	0.0045734383	0.117978364
12673_8#24	12754_4#78	0.036603965	0.44385815
12673_8#24	12754_4#79	0.037132394	0.43353343
12673_8#24	12754_4#80	0.005404927	0.14191696
12673_8#24	12754_4#81	0.03773555	0.4388663
12673_8#24	12754_4#82	0.004623568	0.14117922
12673_8#24	12754_4#84	0.036936194	0.45335764
12673_8#24	12754_4#85	0.0006902155	0.040669147
12673_8#24	12754_4#87	0.036810476	0.4537561
12673_8#24	12754_4#88	0.0054857656	0.15569218
12673_8#24	12754_4#89	0.036842275	0.4460116
12673_8#24	12754_4#90	0.037765086	0.43262285
12673_8#24	12754_4#92	0.03707662	0.45048106
12673_8#24	12754_4#94	0.036756843	0.45046893
12673_8#24	12754_4#95	0.004412208	0.10807857
12673_8#24	12754_5#11	0.004570758	0.11253547
12673_8#24	12754_5#12	0.03737633	0.43564773
12673_8#24	12754_5#13	0.0044816383	0.11102627
12673_8#24	12754_5#14	0.03544545	0.45763272
12673_8#24	12754_5#16	0.0366222	0.4556783
12673_8#24	12754_5#18	0.0051963306	0.09252242
12673_8#24	12754_5#19	0.037023973	0.44342116
12673_8#24	12754_5#2	0.036393754	0.45589945
12673_8#24	12754_5#20	0.036708657	0.4456579
12673_8#24	12754_5#22	0.00090296584	0.043818828
12673_8#24	12754_5#24	0.0009561911	0.042493768
12673_8#24	12754_5#26	0.005222755	0.09216209
12673_8#24	12754_5#28	0.005351176	0.14940459
12673_8#24	12754_5#3	0.004353747	0.11096198
12673_8#24	12754_5#30	0.03767993	0.44685042
12673_8#24	12754_5#32	7.758461e-05	0.015022214
12673_8#24	12754_5#33	0.004412607	0.10805694
12673_8#24	12754_5#35	0.037744436	0.43871462
12673_8#24	12754_5#36	0.00059410033	0.04146632
12673_8#24	12754_5#37	0.037044965	0.44324362
12673_8#24	12754_5#39	0.037204064	0.4380988
12673_8#24	12754_5#40	0.004535065	0.11395091
12673_8#24	12754_5#42	0.03537874	0.4583803
12673_8#24	12754_5#43	0.0044235676	0.12561595
12673_8#24	12754_5#45	0.0049684974	0.10403116
12673_8#24	12754_5#46	0.036702145	0.44338962
12673_8#24	12754_5#47	0.00045170492	0.040885206
12673_8#24	12754_5#49	0.0354301	0.45787296
12673_8#24	12754_5#5	0.036473054	0.45651814
12673_8#24	12754_5#51	0.004968516	0.095413394
12673_8#24	12754_5#52	0.036794093	0.43785468
12673_8#24	12754_5#53	0.0047319033	0.096263684
12673_8#24	12754_5#55	0.0057448368	0.1280237
12673_8#24	12754_5#57	0.0044955425	0.1157611
12673_8#24	12754_5#59	0.005816454	0.12643506
12673_8#24	12754_5#6	0.0060652182	0.14036229
12673_8#24	12754_5#61	0.00091049774	0.043507062
12673_8#24	12754_5#62	0.03593963	0.45931813
12673_8#24	12754_5#64	0.005104339	0.10234499
12673_8#24	12754_5#66	0.03780036	0.4322459
12673_8#24	12754_5#68	0.004860632	0.14942971
12673_8#24	12754_5#70	0.0043512294	0.10931564
12673_8#24	12754_5#71	0.00052960275	0.030652111
12673_8#24	12754_5#72	0.037234727	0.44705173
12673_8#24	12754_5#73	0.036446016	0.44485998
12673_8#24	12754_5#74	0.0009252971	0.043387227
12673_8#24	12754_5#76	0.00518645	0.11697053
12673_8#24	12754_5#78	0.0009201724	0.043392796
12673_8#24	12754_5#8	0.005182174	0.11674506
12673_8#24	12754_5#80	0.0009079718	0.04356035
12673_8#24	12754_5#82	0.037136797	0.44021472
12673_8#24	12754_5#84	0.00058372767	0.04849537
12673_8#24	12754_5#86	0.0007861158	0.039408147
12673_8#24	12754_5#88	0.03666902	0.45879194
12673_8#24	12754_5#89	0.00091010146	0.04363049
12673_8#24	12754_5#9	0.0044530067	0.10548233
12673_8#24	12754_5#90	0.0048184316	0.08870589
12673_8#24	12754_5#92	0.0050493106	0.12038983
12673_8#24	12754_5#94	0.03660799	0.4467133
12673_8#24	12754_5#95	0.00092082605	0.043417357
12673_8#24	19183_4#48	0.037395895	0.4391418
12673_8#24	19183_4#49	0.0004945025	0.04200754
12673_8#24	19183_4#50	0.0059033716	0.13801563
12673_8#24	19183_4#51	0.037702058	0.43729478
12673_8#24	19183_4#52	0.0044906964	0.114649914
12673_8#24	19183_4#53	0.004400798	0.110275164
12673_8#24	19183_4#54	0.005262043	0.1115885
12673_8#24	19183_4#55	0.036861956	0.444812
12673_8#24	19183_4#56	0.0057121124	0.13207704
12673_8#24	19183_4#57	0.00057823875	0.04588426
12673_8#24	19183_4#58	0.005017691	0.09473188
12673_8#24	19183_4#59	0.036234703	0.45432886
12673_8#24	19183_4#60	0.00046489816	0.042593278
12673_8#24	19183_4#61	0.0008728568	0.04072533
12673_8#24	19183_4#62	0.03723373	0.45295203
12673_8#24	19183_4#63	0.037080534	0.4450602
12673_8#24	19183_4#64	0.005395096	0.1587026
12673_8#24	19183_4#65	0.03666295	0.44413698
12673_8#24	19183_4#66	0.0054947673	0.13157995
12673_8#24	19183_4#67	0.0050929408	0.093162924
12673_8#24	19183_4#68	0.037308328	0.44555807
12673_8#24	19183_4#69	0.004475172	0.11535331
12673_8#24	19183_4#70	0.03707618	0.4451418
12673_8#24	19183_4#71	0.004475795	0.11673862
12673_8#24	19183_4#72	0.005066447	0.10838021
12673_8#24	19183_4#73	0.00047187918	0.04253489
12673_8#24	19183_4#74	0.036368262	0.45386133
12673_8#24	19183_4#75	0.0370011	0.43854868
12673_8#24	19183_4#76	0.03673399	0.44804037
12673_8#24	19183_4#77	0.005214177	0.09195646
12673_8#24	19183_4#78	0.00057059166	0.037321262
12673_8#24	19183_4#79	0.00040361471	0.04491924
12673_8#26	12673_8#27	0.005115878	0.16353405
12673_8#26	12673_8#28	0.0047458503	0.09390674
12673_8#26	12673_8#29	8.435179e-05	0.0016171682
12673_8#26	12673_8#31	0.00027837206	0.03627158
12673_8#26	12673_8#32	0.0054886607	0.14167403
12673_8#26	12673_8#34	0.0057186005	0.12905599
12673_8#26	12673_8#36	0.0045524086	0.104816616
12673_8#26	12673_8#37	0.004787828	0.100682616
12673_8#26	12673_8#39	0.03501638	0.4433806
12673_8#26	12673_8#41	0.00013670801	0.028960045
12673_8#26	12673_8#42	0.004605496	0.10310542
12673_8#26	12673_8#43	0.0047002565	0.116001666
12673_8#26	12754_4#66	0.00026850792	0.039793234
12673_8#26	12754_4#68	0.004378094	0.100287355
12673_8#26	12754_4#70	0.004648397	0.11350987
12673_8#26	12754_4#71	0.03630984	0.4573354
12673_8#26	12754_4#73	0.0053548017	0.14218542
12673_8#26	12754_4#74	0.005328709	0.1435817
12673_8#26	12754_4#75	0.0044341707	0.098047085
12673_8#26	12754_4#77	0.004519032	0.11961483
12673_8#26	12754_4#78	0.0363386	0.44472152
12673_8#26	12754_4#79	0.036778256	0.43403074
12673_8#26	12754_4#80	0.0050429427	0.14177628
12673_8#26	12754_4#81	0.037580583	0.4379603
12673_8#26	12754_4#82	0.00461051	0.14199428
12673_8#26	12754_4#84	0.03642796	0.45611608
12673_8#26	12754_4#85	0.0002324866	0.02580449
12673_8#26	12754_4#87	0.036429513	0.45568225
12673_8#26	12754_4#88	0.005164986	0.15470411
12673_8#26	12754_4#89	0.03630586	0.44970986
12673_8#26	12754_4#90	0.037557956	0.4323964
12673_8#26	12754_4#92	0.037377417	0.44558737
12673_8#26	12754_4#94	0.03644339	0.45291102
12673_8#26	12754_4#95	0.004651357	0.11647954
12673_8#26	12754_5#11	0.004383196	0.11125316
12673_8#26	12754_5#12	0.036897715	0.43919736
12673_8#26	12754_5#13	0.0044615595	0.121751495
12673_8#26	12754_5#14	0.03537259	0.4560555
12673_8#26	12754_5#16	0.03599386	0.4605298
12673_8#26	12754_5#18	0.004777409	0.09461672
12673_8#26	12754_5#19	0.036686055	0.44467506
12673_8#26	12754_5#2	0.036549628	0.4518752
12673_8#26	12754_5#20	0.036272917	0.44936317
12673_8#26	12754_5#22	0.0	0.000801336
12673_8#26	12754_5#24	3.1128562e-05	2.237114e-06
12673_8#26	12754_5#26	0.0047941403	0.094296485
12673_8#26	12754_5#28	0.0049610673	0.14991747
12673_8#26	12754_5#3	0.0045381226	0.11706037
12673_8#26	12754_5#30	0.037176296	0.44742703
12673_8#26	12754_5#32	0.0008216659	0.039662726
12673_8#26	12754_5#33	0.004644726	0.11663675
12673_8#26	12754_5#35	0.037198137	0.44179544
12673_8#26	12754_5#36	0.0002503553	0.032371253
12673_8#26	12754_5#37	0.036706943	0.44449884
12673_8#26	12754_5#39	0.037054628	0.43354133
12673_8#26	12754_5#40	0.004451438	0.111506544
12673_8#26	12754_5#42	0.035306223	0.45680138
12673_8#26	12754_5#43	0.004300251	0.11745798
12673_8#26	12754_5#45	0.0045317826	0.10440481
12673_8#26	12754_5#46	0.03641685	0.44308296
12673_8#26	12754_5#47	0.00024231181	0.038218666
12673_8#26	12754_5#49	0.035335	0.45656458
12673_8#26	12754_5#5	0.036089692	0.45894453
12673_8#26	12754_5#51	0.004792524	0.09162734
12673_8#26	12754_5#52	0.03682077	0.43226552
12673_8#26	12754_5#53	0.0046334933	0.092249595
12673_8#26	12754_5#55	0.005261301	0.12976275
12673_8#26	12754_5#57	0.004296855	0.112447105
12673_8#26	12754_5#59	0.005345413	0.1278684
12673_8#26	12754_5#6	0.005506854	0.14349595
12673_8#26	12754_5#61	3.938426e-08	0.00064222835
12673_8#26	12754_5#62	0.036137518	0.45494923
12673_8#26	12754_5#64	0.0049252673	0.10143641
12673_8#26	12754_5#66	0.037592907	0.43202242
12673_8#26	12754_5#68	0.0046078884	0.15445009
12673_8#26	12754_5#70	0.004592145	0.117699504
12673_8#26	12754_5#71	0.00043094714	0.044900067
12673_8#26	12754_5#72	0.037391152	0.44391486
12673_8#26	12754_5#73	0.03648107	0.44297433
12673_8#26	12754_5#74	2.7706297e-05	6.3274992e-06
12673_8#26	12754_5#76	0.00491844	0.10238049
12673_8#26	12754_5#78	5.9842305e-06	0.0006700716
12673_8#26	12754_5#8	0.00492447	0.10210763
12673_8#26	12754_5#80	4.1967314e-06	0.00062174536
12673_8#26	12754_5#82	0.037426885	0.4338684
12673_8#26	12754_5#84	0.00024826583	0.0456463
12673_8#26	12754_5#86	0.0	0.017177816
12673_8#26	12754_5#88	0.03600991	0.46403515
12673_8#26	12754_5#89	0.0	0.000813834
12673_8#26	12754_5#9	0.004716568	0.11294593
12673_8#26	12754_5#90	0.004701652	0.10106864
12673_8#26	12754_5#92	0.0048329723	0.118604936
12673_8#26	12754_5#94	0.03635441	0.44746166
12673_8#26	12754_5#95	5.992799e-07	0.00077560707
12673_8#26	19183_4#48	0.036982328	0.44140458
12673_8#26	19183_4#49	4.733e-05	0.042248
12673_8#26	19183_4#50	0.005349167	0.1433767
12673_8#26	19183_4#51	0.037264686	0.43953064
12673_8#26	19183_4#52	0.004416778	0.1120594
12673_8#26	19183_4#53	0.004596821	0.11616771
12673_8#26	19183_4#54	0.004777601	0.10884922
12673_8#26	19183_4#55	0.036341615	0.44576094
12673_8#26	19183_4#56	0.0053886226	0.13154021
12673_8#26	19183_4#57	0.00021668294	0.04393117
12673_8#26	19183_4#58	0.004694602	0.093441166
12673_8#26	19183_4#59	0.03615504	0.45074344
12673_8#26	19183_4#60	3.2378255e-05	0.042287238
12673_8#26	19183_4#61	0.00012956663	0.0035239593
12673_8#26	19183_4#62	0.035909534	0.4460607
12673_8#26	19183_4#63	0.03587033	0.4365965
12673_8#26	19183_4#64	0.005031704	0.158423
12673_8#26	19183_4#65	0.036569323	0.4420638
12673_8#26	19183_4#66	0.005193403	0.13163507
12673_8#26	19183_4#67	0.004781049	0.091674544
12673_8#26	19183_4#68	0.037137073	0.44505766
12673_8#26	19183_4#69	0.004412325	0.11247769
12673_8#26	19183_4#70	0.035872187	0.43657354
12673_8#26	19183_4#71	0.0042856187	0.11317478
12673_8#26	19183_4#72	0.0044053257	0.10325384
12673_8#26	19183_4#73	3.42781e-05	0.042334847
12673_8#26	19183_4#74	0.036231626	0.45314384
12673_8#26	19183_4#75	0.036669713	0.43884712
12673_8#26	19183_4#76	0.035571057	0.44030553
12673_8#26	19183_4#77	0.004779501	0.094422534
12673_8#26	19183_4#78	0.000311852	0.03583875
12673_8#26	19183_4#79	1.2565347e-06	0.044219803
12673_8#27	12673_8#28	0.004972892	0.13690959
12673_8#27	12673_8#29	0.005105393	0.16368489
12673_8#27	12673_8#31	0.005294024	0.14693637
12673_8#27	12673_8#32	0.0047617224	0.1255096
12673_8#27	12673_8#34	0.004660742	0.11743493
12673_8#27	12673_8#36	0.0041376157	0.16541895
12673_8#27	12673_8#37	0.0049716467	0.13381235
12673_8#27	12673_8#39	0.035539992	0.44506356
12673_8#27	12673_8#41	0.005130311	0.14116193
12673_8#27	12673_8#42	0.004436235	0.14971745
12673_8#27	12673_8#43	0.005116689	0.1659331
12673_8#27	12754_4#66	0.0051896046	0.14095134
12673_8#27	12754_4#68	0.0042710584	0.14768492
12673_8#27	12754_4#70	0.004298606	0.17100269
12673_8#27	12754_4#71	0.036113344	0.44275415
12673_8#27	12754_4#73	0.0046756444	0.10730272
12673_8#27	12754_4#74	0.004763876	0.108483665
12673_8#27	12754_4#75	0.004288895	0.1444208
12673_8#27	12754_4#77	0.004955971	0.16879217
12673_8#27	12754_4#78	0.036335364	0.42873353
12673_8#27	12754_4#79	0.036914453	0.41778713
12673_8#27	12754_4#80	0.0003101641	0.03730056
12673_8#27	12754_4#81	0.036375064	0.4206235
12673_8#27	12754_4#82	0.005274126	0.16714074
12673_8#27	12754_4#84	0.03523189	0.43442214
12673_8#27	12754_4#85	0.0050629573	0.15279649
12673_8#27	12754_4#87	0.036189325	0.43876642
12673_8#27	12754_4#88	0.0053233807	0.12364841
12673_8#27	12754_4#89	0.035306793	0.42940664
12673_8#27	12754_4#90	0.03707902	0.41012228
12673_8#27	12754_4#92	0.036696624	0.4381019
12673_8#27	12754_4#94	0.03553986	0.42718428
12673_8#27	12754_4#95	0.0049799634	0.16672024
12673_8#27	12754_5#11	0.004904675	0.16172597
12673_8#27	12754_5#12	0.036369678	0.42117682
12673_8#27	12754_5#13	0.0051683187	0.16407476
12673_8#27	12754_5#14	0.035038345	0.44104016
12673_8#27	12754_5#16	0.0348798	0.4370266
12673_8#27	12754_5#18	0.004283369	0.15320386
12673_8#27	12754_5#19	0.035985015	0.43706307
12673_8#27	12754_5#2	0.035968848	0.43358374
12673_8#27	12754_5#20	0.035693143	0.4255358
12673_8#27	12754_5#22	0.0050840657	0.16434352
12673_8#27	12754_5#24	0.0051387474	0.16319735
12673_8#27	12754_5#26	0.0042681554	0.15381636
12673_8#27	12754_5#28	0.005069729	0.117906995
12673_8#27	12754_5#3	0.0048914882	0.16869025
12673_8#27	12754_5#30	0.036158357	0.42109597
12673_8#27	12754_5#32	0.0055509224	0.15470587
12673_8#27	12754_5#33	0.004985384	0.16656503
12673_8#27	12754_5#35	0.03656897	0.42854574
12673_8#27	12754_5#36	0.005041685	0.14443342
12673_8#27	12754_5#37	0.03598441	0.43712175
12673_8#27	12754_5#39	0.036350135	0.4319266
12673_8#27	12754_5#40	0.0049012266	0.16114701
12673_8#27	12754_5#42	0.03498056	0.44167572
12673_8#27	12754_5#43	0.0051535866	0.17523888
12673_8#27	12754_5#45	0.0043061934	0.15242054
12673_8#27	12754_5#46	0.036030125	0.4324626
12673_8#27	12754_5#47	0.0050614947	0.1438759
12673_8#27	12754_5#49	0.035019014	0.44133347
12673_8#27	12754_5#5	0.03496499	0.4363103
12673_8#27	12754_5#51	0.0043526096	0.15306954
12673_8#27	12754_5#52	0.03646307	0.43224376
12673_8#27	12754_5#53	0.0040994943	0.15649939
12673_8#27	12754_5#55	0.00457682	0.10552933
12673_8#27	12754_5#57	0.005204461	0.15327004
12673_8#27	12754_5#59	0.0046273083	0.10442475
12673_8#27	12754_5#6	0.004764103	0.11551838
12673_8#27	12754_5#61	0.005102783	0.16384587
12673_8#27	12754_5#62	0.035870865	0.44081163
12673_8#27	12754_5#64	0.0046476377	0.15641965
12673_8#27	12754_5#66	0.037092526	0.41009325
12673_8#27	12754_5#68	0.005102474	0.2013026
12673_8#27	12754_5#70	0.0049635023	0.16695172
12673_8#27	12754_5#71	0.005469339	0.1479325
12673_8#27	12754_5#72	0.03659911	0.43012032
12673_8#27	12754_5#73	0.036504354	0.42682117
12673_8#27	12754_5#74	0.0051190075	0.16375594
12673_8#27	12754_5#76	0.0046666875	0.1879927
12673_8#27	12754_5#78	0.005085701	0.16421568
12673_8#27	12754_5#8	0.004648797	0.18796602
12673_8#27	12754_5#80	0.005090034	0.16398169
12673_8#27	12754_5#82	0.036794968	0.42336607
12673_8#27	12754_5#84	0.0049549527	0.15177129
12673_8#27	12754_5#86	0.0051647974	0.15053016
12673_8#27	12754_5#88	0.03490994	0.440298
12673_8#27	12754_5#89	0.00511379	0.16371284
12673_8#27	12754_5#9	0.005190783	0.16318467
12673_8#27	12754_5#90	0.004437397	0.14803872
12673_8#27	12754_5#92	0.0046559125	0.16915451
12673_8#27	12754_5#94	0.036385767	0.42526433
12673_8#27	12754_5#95	0.0051176297	0.16355725
12673_8#27	19183_4#48	0.03648907	0.4189603
12673_8#27	19183_4#49	0.005146318	0.13199736
12673_8#27	19183_4#50	0.0047689155	0.11162782
12673_8#27	19183_4#51	0.03661351	0.42231798
12673_8#27	19183_4#52	0.004867789	0.1615966
12673_8#27	19183_4#53	0.0049489555	0.16791748
